id,name,type,description
mnso,Malawi National Statistical Office,Government Institution,"The NSO is responsible for collecting, compiling, analyzing, and disseminating official statistics. Their household surveys — including the Integrated Household Survey (IHS) and Demographic and Health Survey (DHS) — include audio recordings of interviews conducted in local languages across all districts."
times_group,The Times Group,Print & Digital Media,"Malawi's largest private media company, publishing The Daily Times and Malawi News. They produce news articles, opinion pieces, and investigative reporting in both English and Chichewa, offering a rich written corpus of contemporary Malawian language."
nation_publications,The Nation Publications,Print & Digital Media,"Publishers of The Nation and Weekend Nation newspapers. A major source of Chichewa and English news, feature writing, and editorial content covering politics, economics, culture, and society in Malawi."
radio_islam,Radio Islam,Broadcaster — Radio,"One of Malawi's most popular private radio stations, broadcasting in Chichewa and Yao. Programming includes news, religious content, community affairs, call-in shows, and cultural programs, providing extensive spoken-language data."
twr,Transworld Radio,Broadcaster — Radio,"An international Christian broadcaster with a significant Malawian presence. Produces programming in Chichewa, Tumbuka, Yao, and Lomwe including educational content, health programming, storytelling, and agricultural extension shows."
mbc,Malawi Broadcasting Corporation,Broadcaster — Radio & TV (State),"Malawi's national public broadcaster operating MBC Radio 1 and MBC Radio 2 (now known as Namikango FM). As the state broadcaster, MBC produces content in all major Malawian languages including news bulletins, parliamentary coverage, drama, and educational programming."
yoneco_fm,YONECO FM,Broadcaster — Community Radio,"Youth Net and Counselling (YONECO) operates a community radio station focusing on youth empowerment, gender issues, and human rights. Broadcasts primarily in Chichewa and Yao from Zomba district."
nyanthepa,Nyanthepa Community Radio,Broadcaster — Community Radio,"A community radio station serving Mzimba and surrounding areas. Broadcasts primarily in Tumbuka with programming on agriculture, health, education, and local governance, providing valuable Tumbuka-language audio data."
mij,Malawi Institute of Journalism,Educational Institution,"Malawi's premier journalism training institution. MIJ produces student and faculty media in multiple Malawian languages, including practice broadcasts, written news assignments, and multimedia projects."
doi,Malawi Department of Information,Government Institution,"The government's official information arm, producing press releases, public service announcements, policy documents, and informational content in Chichewa and English for nationwide distribution."
mie,Malawi Institute of Education,Educational Institution,"Responsible for curriculum development and educational materials. MIE produces textbooks, teaching guides, and supplementary reading materials in Chichewa, Tumbuka, Yao, and other languages used in primary education."
montfort,Montfort Media,Religious & Community Media,"A Catholic media organization producing print, radio, and multimedia content in Chichewa and other local languages. Their output includes books, pamphlets, audio dramas, educational materials, and community development content."
